price,title,url
5500,Google home new and 20days used with box and all,https://www.olx.in/item/google-home-new-and-20days-used-with-box-and-all-ID1mlYZl.html
700,Eon company bluetooth speaker,https://www.olx.in/item/eon-company-bluetooth-speaker-ID1mlYID.html
9499,H_D Display 32 Inch LED TV '' Box Packed '' With Warranty On Site ||,https://www.olx.in/item/h-d-display-32-inch-led-tv-box-packed-with-warranty-on-site-ID1mlZ2H.html
38000,Samsung led tv with 3d and 49 inches screen,https://www.olx.in/item/samsung-led-tv-with-3d-and-49-inches-screen-ID1mlZ0N.html
3200,Gray CRT Television With Remote,https://www.olx.in/item/gray-crt-television-with-remote-ID1mlYQn.html
10500,Sony 32 inch smart led TV offer... 10500. Hurry up wholesale,https://www.olx.in/item/sony-32-inch-smart-led-tv-offer-10500-hurry-up-wholesale-ID1l8XLp.html
1000,All items Original,https://www.olx.in/item/all-items-original-ID1mlZ2F.html
800,White Dvaio Stereo Bluetooth Neckband With Box,https://www.olx.in/item/white-dvaio-stereo-bluetooth-neckband-with-box-ID1mlZ3x.html
6000,TV Onida colour,https://www.olx.in/item/tv-onida-colour-ID1mlYoR.html
1500,Black Vizio Flat Screen TV,https://www.olx.in/item/black-vizio-flat-screen-tv-ID1mlYkB.html
3500,LG flatron TV,https://www.olx.in/item/lg-flatron-tv-ID1mlYlj.html
3999,New! Luxary looking Grande TV Stand for TV,https://www.olx.in/item/new-luxary-looking-grande-tv-stand-for-tv-ID1mlYq9.html
4500,Gray And Black CRT TV,https://www.olx.in/item/gray-and-black-crt-tv-ID1mlYnN.html
2499,Brown Samsung Level Wireless Earbuds Box,https://www.olx.in/item/brown-samsung-level-wireless-earbuds-box-ID1mlYqj.html
500,White And Black VR Box,https://www.olx.in/item/white-and-black-vr-box-ID1mlYst.html
1750,3 year old TV 14 inch Oscar colour best condition,https://www.olx.in/item/3-year-old-tv-14-inch-oscar-colour-best-condition-ID1mlYlP.html
3500,Led.samsung.22.inch,https://www.olx.in/item/led-samsung-22-inch-ID1mlZSd.html
1300,Setep box+dish entina+remote+wire all acessories.,https://www.olx.in/item/setep-box-dish-entina-remote-wire-all-acessories-ID1mlYlL.html
7000,Samsung 26 imches LCD TV with wall mount stand in very,https://www.olx.in/item/samsung-26-imches-lcd-tv-with-wall-mount-stand-in-very-ID1mlZQR.html
11500,"Amazing 32"" Samsung Android LED TV with 1yr warranty",https://www.olx.in/item/amazing-32-samsung-android-led-tv-with-1yr-warranty-ID1mlZW7.html
7000,32 lg led tv not working,https://www.olx.in/item/32-lg-led-tv-not-working-ID1mlZ6r.html
1650,Tata Sky HD Box with 1 month HD pack Free,https://www.olx.in/item/tata-sky-hd-box-with-1-month-hd-pack-free-ID1mlZWx.html
9499,Full H_D Display 32 Inch LED TV '' Full H_D '' With Warranty 1 Year ||,https://www.olx.in/item/full-h-d-display-32-inch-led-tv-full-h-d-with-warranty-1-year-ID1mlZWp.html
9999,|| MONSOON SALE || LED Tv// 32// SMART Android With 5 Years Warranty,https://www.olx.in/item/monsoon-sale-led-tv-32-smart-android-with-5-years-warranty-ID1mlcZD.html
2500,Black CRT TV With Brown Wooden Stand,https://www.olx.in/item/black-crt-tv-with-brown-wooden-stand-ID1mlZST.html
4000,Radel digi 108 Taal-Mala.,https://www.olx.in/item/radel-digi-108-taal-mala-ID1mlZ1z.html
60000,Paudio 6 Mid 350 Mid 750 Higs,https://www.olx.in/item/paudio-6-mid-350-mid-750-higs-ID1mlXGz.html
2300,Good condition argent sell mani is problem,https://www.olx.in/item/good-condition-argent-sell-mani-is-problem-ID1mlZQL.html
